

(2.00+1.00i) (1.00+1.00i) (1.00+1.00i) (1.00+2.00i) (2.00+3.00i)
(2.00+3.00i) (2.00+5.00i) (3.00+7.00i) (1.00+2.00i) (2.00+2.00i)
(1.00+2.00i) (1.50+3.00i) (1.00+1.00i) (1.00+1.00i) (0.00+2.00i)
(3.00+1.00i) (1.00+4.00i) (2.00+1.00i) (4.00+3.00i) (0.00+0.00i)
(3.00+2.00i) (2.00+2.00i) (2.00+0.00i) (0.00+1.00i) (1.00+1.00i)

(9.00+1.00i) (8.00+2.00i) (8.00+8.00i) (9.00+5.00i) (1.00+1.00i)




1 2 3 4 15
5 4 3 12 1
1 2 13 4 5
5 14 3 2 1 
11 2 3 4 5

5 4 3 2 1







1 2 3 4 5 
6 7 8 9 9
8 7 -6 5 4 
3 2 1 1 2 
3 4 5 6 7

2 1 1 2 2








